"TrtCode","Treatment","Rep","TrapID","Site","Crop","MD","Count","Male","EndDate","StartDate"
"A","NowBiolure","1",312,"Kettleman","Alm","No",88,88,2018-04-27,2018-04-10
"A","NowBiolure","2",323,"Kettleman","Alm","No",94,94,2018-04-27,2018-04-10
"A","NowBiolure","3",331,"Kettleman","Alm","No",73,73,2018-04-27,2018-04-10
"A","NowBiolure","4",344,"Kettleman","Alm","No",85,85,2018-04-27,2018-04-10
"A","NowBiolure","5",355,"Kettleman","Alm","No",14,14,2018-04-27,2018-04-10
"A","NowBiolure","6",365,"Kettleman","Alm","No",82,82,2018-04-27,2018-04-10
"A","NowBiolure","7",375,"Kettleman","Alm","No",56,48,2018-04-27,2018-04-10
"A","NowBiolure","8",385,"Kettleman","Alm","No",84,84,2018-04-27,2018-04-10
"A","NowBiolure","1",312,"Kettleman","Alm","No",61,61,2018-05-04,2018-04-27
"A","NowBiolure","2",323,"Kettleman","Alm","No",58,58,2018-05-04,2018-04-27
"A","NowBiolure","3",331,"Kettleman","Alm","No",49,49,2018-05-04,2018-04-27
"A","NowBiolure","4",344,"Kettleman","Alm","No",48,48,2018-05-04,2018-04-27
"A","NowBiolure","5",351,"Kettleman","Alm","No",68,68,2018-05-04,2018-04-27
"A","NowBiolure","6",365,"Kettleman","Alm","No",46,46,2018-05-04,2018-04-27
"A","NowBiolure","7",373,"Kettleman","Alm","No",77,77,2018-05-04,2018-04-27
"A","NowBiolure","8",385,"Kettleman","Alm","No",82,82,2018-05-04,2018-04-27
"A","NowBiolure","1",312,"Kettleman","Alm","No",54,54,2018-05-16,2018-05-04
"A","NowBiolure","2",323,"Kettleman","Alm","No",42,42,2018-05-16,2018-05-04
"A","NowBiolure","3",331,"Kettleman","Alm","No",33,33,2018-05-16,2018-05-04
"A","NowBiolure","4",344,"Kettleman","Alm","No",49,49,2018-05-16,2018-05-04
"A","NowBiolure","5",351,"Kettleman","Alm","No",43,43,2018-05-16,2018-05-04
"A","NowBiolure","6",365,"Kettleman","Alm","No",43,43,2018-05-16,2018-05-04
"A","NowBiolure","7",373,"Kettleman","Alm","No",46,46,2018-05-16,2018-05-04
"A","NowBiolure","8",385,"Kettleman","Alm","No",69,69,2018-05-16,2018-05-04
"A","NowBiolure","1",312,"Kettleman","Alm","No",8,8,2018-05-25,2018-05-16
"A","NowBiolure","2",323,"Kettleman","Alm","No",11,11,2018-05-25,2018-05-16
"A","NowBiolure","3",331,"Kettleman","Alm","No",6,6,2018-05-25,2018-05-16
"A","NowBiolure","4",344,"Kettleman","Alm","No",6,6,2018-05-25,2018-05-16
"A","NowBiolure","5",351,"Kettleman","Alm","No",20,20,2018-05-25,2018-05-16
"A","NowBiolure","6",365,"Kettleman","Alm","No",7,7,2018-05-25,2018-05-16
"A","NowBiolure","7",373,"Kettleman","Alm","No",32,32,2018-05-25,2018-05-16
"A","NowBiolure","8",385,"Kettleman","Alm","No",18,18,2018-05-25,2018-05-16
